KnKod,KnNamn,LnNamn
2326,Berg,Jämtlands län
2361,Härjedalen,Jämtlands län
2380,Östersund,Jämtlands län
2401,Nordmaling,Västerbottens län
2403,Bjurholm,Västerbottens län
2404,Vindeln,Västerbottens län
2409,Robertsfors,Västerbottens län
2417,Norsjö,Västerbottens län
2418,Malå,Västerbottens län
2421,Storuman,Västerbottens län
2422,Sorsele,Västerbottens län
2425,Dorotea,Västerbottens län
2460,Vännäs,Västerbottens län
2462,Vilhelmina,Västerbottens län
2463,Åsele,Västerbottens län
2480,Umeå,Västerbottens län
2481,Lycksele,Västerbottens län
2482,Skellefteå,Västerbottens län
2505,Arvidsjaur,Norrbottens län
2506,Arjeplog,Norrbottens län
2510,Jokkmokk,Norrbottens län
2513,Överkalix,Norrbottens län
2514,Kalix,Norrbottens län
2518,Övertorneå,Norrbottens län
2521,Pajala,Norrbottens län
2523,Gällivare,Norrbottens län
2560,Älvsbyn,Norrbottens län
2580,Luleå,Norrbottens län
2581,Piteå,Norrbottens län
2582,Boden,Norrbottens län
2583,Haparanda,Norrbottens län
2584,Kiruna,Norrbottens län
