Namn,Kon
abebe,M
abed,M
abedali,M
abedalrahman,M
abedin,M
abel,M
ábel,M
abelardo,M
abenezer,M
abera,M
abgar,M
abhay,M
abhijeet,M
abhijit,M
abhilash,M
abhimanyu,M
abhinav,M
abhishek,M
abib,M
abid,M
abidin,M
abiel,M
abiib,M
abiodun,M
abiola,M
abit,M
abiy,M
abjar,M
åbjörn,M
ablahad,M
ablelom,M
abner,M
abo,M
abobaker,M
abobakr,M
abod,M
abokar,M
abokor,M
abolfazl,M
abolghasem,M
abolghassem,M
abolhassan,M
abood,M
abou,M
aboubacar,M
aboubaker,M
aboubakr,M
aboud,M
aboulheil,M
abozar,M
abrahale,M
abrahaley,M
abraham,M
abrahem,M
abrahim,M
abram,M
abreham,M
abrham,M
abshir,M
abtin,M
abu,M
abubakar,M
abubaker,M
abubakir,M
abubakr,M
abubeker,M
abud,M
abukar,M
abul,M
abulfazl,M
abuukar,M
abuzar,M
abuzer,M
aca,M
ace,M
achates,M
achille,M
achilleas,M
achillefs,M
achilles,M
achim,M
achour,M
achraf,M
acke,M
aco,M
adai,M
adal,M
adalbert,M
adalberto,M
adam,M
ádám,M
adams,M
adamu,M
adan,M
adane,M
adani,M
adao,M
adar,M
adarsh,M
adas,M
adawe,M
aday,M
adday,M
adde,M
addi,M
addin,M
addis,M
addisu,M
addo,M
ade,M
adebayo,M
adebowale,M
adeeb,M
adeel,M
adekunle,M
adel,M
adelbert,M
adelmo,M
adem,M
ademir,M
ademola,M
aden,M
adetokunbo,M
adewale,M
adham,M
adhanom,M
adhurim,M
adi,M
adian,M
adib,M
adiel,M
adijan,M
adil,M
adils,M
adilson,M
adin,M
adis,M
adisak,M
adison,M
adisorn,M
aditya,M
adjei,M
adlan,M
adler,M
adli,M
adly,M
adm,M
admasu,M
admir,M
admon,M
admoun,M
adnaan,M
adnan,M
adnane,M
ado,M
adolf,M
adolfo,M
adolfsson,M
adolph,M
adolphe,M
adolv,M
adomas,M
adonai,M
adonay,M
adonis,M
ador,M
adow,M
adrean,M
adri,M
adriaan,M
adrian,M
adrián,M
adriano,M
adrians,M
adrianus,M
adriatik,M
adriel,M
adrien,M
adrijan,M
adris,M
adu,M
advaith,M
advan,M
advik,M
adwan,M
adwar,M
adyan,M
aed,M
aedan,M
aegir,M
aeham,M
aeman,M
aeneas,M
afewerki,M
afework,M
affan,M
affe,M
afif,M
afonso,M
afram,M
afrem,M
afrim,M
afshar,M
afshin,M
aftab,M
afzal,M
aga,M
agan,M
agar,M
agard,M
agardh,M
agart,M
agarth,M
agathon,M
agaton,M
agbor,M
age,M
åge,M
agge,M
aggelos,M
agha,M
aghiad,M
aghil,M
aghyad,M
agid,M
agil,M
agim,M
agit,M
agnar,M
agne,M
agner,M
ago,M
agob,M
agon,M
agop,M
agostino,M
agri,M
agrin,M
agris,M
agron,M
agung,M
agus,M
agust,M
ágúst,M
agustin,M
ahad,M
ahamad,M
ahamed,M
ahferom,M
ahl,M
ahle,M
ahmad,M
ahmadi,M
ahmadou,M
ahmadreza,M
ahmadshah,M
ahmat,M
ahmd,M
ahmed,M
ahmedin,M
ahmednur,M
ahmednuur,M
ahmedov,M
ahmet,M
ahmmad,M
ahmmed,M
ahmo,M
ahnaf,M
aho,M
ahron,M
ahsan,M
ahti,M
ahto,M
aiad,M
aid,M
aidan,M
aidarus,M
aidas,M
aiden,M
aidin,M
aigars,M
aiham,M
aik,M
ailo,M
aimal,M
aiman,M
aimar,M
aimé,M
aimen,M
aimo,M
ain,M
ainars,M
ainer,M
airidas,M
aironas,M
aissa,M
aitor,M
aiub,M
aivar,M
aivaras,M
aivars,M
aivis,M
aivo,M
aiwen,M
ajad,M
ajan,M
ajay,M
ajdin,M
aje,M
ajet,M
ajhan,M
ajit,M
ajith,M
ajlan,M
ajmal,M
ajman,M
ajnur,M
ajob,M
ajub,M
akad,M
akam,M
akan,M
akar,M
akash,M
akbar,M
åke,M
akeel,M
akeem,M
åkeson,M
åkesson,M
akhil,M
akhilesh,M
akhmad,M
akhmed,M
aki,M
akif,M
akil,M
akilles,M
akim,M
akin,M
akio,M
akira,M
akkad,M
akke,M
aklilu,M
akmal,M
ako,M
akos,M
ákos,M
akram,M
akrem,M
aksel,M
akseli,M
akshay,M
aktham,M
aku,M
akwasi,M
al,M
ål,M
ala´a,M
alaa,M
alaaddin,M
alaaeddin,M
alaaeldin,M
alaaldin,M
alabbas,M
alabdin,M
aladar,M
aladdin,M
aladin,M
alaeddin,M
alagie,M
alah,M
alain,M
alam,M
alamgir,M
alamin,M
al-amin,M
alamir,M
alamiro,M
alan,M
aland,M
alar,M
alarik,M
alas,M
alasan,M
alasdair,M
alassane,M
alastair,M
alawi,M
alay,M
alaz,M
alazar,M
alaziz,M
alban,M
albanus,M
albaraa,M
albeer,M
albeiro,M
alber,M
albert,M
albertas,M
alberth,M
alberti,M
albertino,M
alberto,M
alberts,M
albertus,M
albi,M
albin,M
albinas,M
albino,M
albion,M
albir,M
alborz,M
albrecht,M
albrekt,M
albus,M
alcides,M
aldar,M
alddin,M
aldeen,M
aldein,M
alden,M
alder,M
aldien,M
aldin,M
al-din,M
alding,M
aldis,M
aldo,M
aldon,M
aldor,M
aldrin,M
aldur,M
ale,M
alec,M
alecsander,M
aleem,M
alef,M
aleh,M
alehandro,M
alejandro,M
alejo,M
alek,M
aleks,M
aleksa,M
aleksandar,M
aleksander,M
aleksandr,M
aleksandras,M
aleksandre,M
aleksandros,M
aleksandrov,M
aleksandrovich,M
aleksandrovitj,M
aleksandrs,M
aleksanteri,M
aleksei,M
aleksej,M
aleksejs,M
aleksey,M
aleksi,M
aleksis,M
alekso,M
aleksy,M
alem,M
alemayehu,M
alemu,M
alen,M
alend,M
alenius,M
alert,M
ales,M
alesandro,M
alessandro,M
alessio,M
alesso,M
alex,M
alexan,M
alexandar,M
alexander,M
alexanders,M
alexandr,M
alexandre,M
alexandro,M
alexandros,M
aléxandros,M
alexandrov,M
alexandrovich,M
alexandru,M
alexandru-gabriel,M
alexeevich,M
alexei,M
alexej,M
alexey,M
alexi,M
alexio,M
alexios,M
alexis,M
alexius,M
alexsander,M
alexsandro,M
alexus,M
alexx,M
alexzander,M
alf,M
alf åke,M
alf erik,M
alf göran,M
alf-åke,M
alfarouk,M
alf-erik,M
alf-göran,M
alf-gunnar,M
alfie,M
alf-inge,M
alfio,M
alfon,M
alfons,M
alfonse,M
alfonso,M
alfonz,M
alfonzo,M
alford,M
alfred,M
alfredo,M
alfrid,M
alfsson,M
alge,M
alger,M
algernon,M
algimantas,M
algirdas,M
algis,M
algon,M
algot,M
algoth,M
algur,M
alhadi,M
alhagi,M
alhagie,M
alhaj,M
alhaji,M
alhakam,M
alhasan,M
alhassan,M
al-hassan,M
alhussein,M
al-hussein,M
ali,M
ali reza,M
aliakbar,M
ali-akbar,M
aliaksandr,M
aliaksei,M
alian,M
alias,M
aliasghar,M
alican,M
alidad,M
alidahir,M
alieu,M
aliev,M
alif,M
alihan,M
alija,M
alijan,M
alik,M
alikhan,M
alim,M
aliosman,M
aliou,M
alioune,M
alireza,M
ali-reza,M
alirio,M
aliro,M
alishah,M
alisher,M
alisina,M
alistair,M
alister,M
alix,M
alji,M
aljosa,M
alkader,M
alkan,M
alkareem,M
alkarim,M
alkiviadis,M
alladin,M
allah,M
allaith,M
allal,M
allam,M
allan,M
alland,M
allani,M
allard,M
allawi,M
alle,M
allen,M
aller,M
allert,M
allex,M
allon,M
allvar,M
allvin,M
almahdi,M
almantas,M
almar,M
almedin,M
almer,M
almin,M
almir,M
almotasem,M
alnaser,M
alnd,M
alnour,M
alo,M
alois,M
alojz,M
alojzy,M
alok,M
alon,M
aloniab,M
alonso,M
alonzo,M
aloys,M
aloysius,M
alp,M
alparslan,M
alpaslan,M
alpay,M
alper,M
alperen,M
alpha,M
alphons,M
alphonse,M
alpo,M
alrahman,M
al-rahman,M
alrazak,M
alrhman,M
alric,M
alrik,M
alsalam,M
alsing,M
altaf,M
altan,M
altay,M
altayeb,M
alte,M
altin,M
alton,M
altti,M
alula,M
alush,M
alusine,M
alv,M
alvan,M
alvar,M
alvari,M
alvaro,M
álvaro,M
alve,M
alvén,M
alves,M
alvin,M
alving,M
alvis,M
alvydas,M
alwalid,M
alwan,M
alwar,M
alwe,M
alwin,M
alwyn,M
alx,M
aly,M
alyan,M
alyas,M
amaan,M
amaar,M
amad,M
amadeo,M
amadeus,M
amadéus,M
amadeusz,M
amadeuz,M
amado,M
amador,M
amadou,M
amadu,M
aman,M
amand,M
amandus,M
amang,M
amaniel,M
amanj,M
amanoel,M
amanuel,M
amanullah,M
amar,M
amare,M
amarildo,M
amarjit,M
amaro,M
amaru,M
amat,M
amaury,M
ambasager,M
ambjörn,M
ambrose,M
ambrosio,M
ambrosius,M
amdi,M
amed,M
amedeo,M
ameen,M
ameer,M
ameha,M
amel,M
amen,M
amer,M
americo,M
américo,M
amet,M
ameur,M
amgad,M
amged,M
amid,M
amiel,M
amiin,M
amiir,M
amil,M
amilcar,M
amilon,M
amin,M
aminadab,M
amine,M
aminul,M
aminullah,M
amir,M
amir ali,M
amirali,M
amiran,M
amirhossein,M
amiri,M
amirreza,M
amirul,M
amit,M
amjad,M
amjd,M
amjed,M
ammad,M
amman,M
ammanuel,M
ammar,M
ammer,M
amo,M
amol,M
amon,M
amor,M
amos,M
amr,M
amrik,M
amrit,M
amro,M
amund,M
anakin,M
anan,M
anand,M
ananda,M
ananias,M
anant,M
anar,M
anas,M
anass,M
anastasios,M
anastassios,M
anatol,M
anatole,M
anatoli,M
anatolievich,M
anatolii,M
anatolij,M
anatolijs,M
anatoliy,M
anatoly,M
ande,M
andebrhan,M
andelko,M
andemariam,M
andemichael,M
ander,M
andero,M
anders,M
andersen,M
anders-erik,M
anderses,M
anders-olof,M
anderson,M
anders-petter,M
andersson,M
anderz,M
andi,M
andie,M
andin,M
andis,M
andjelko,M
andjelo,M
ando,M
andom,M
andon,M
andoni,M
andonis,M
andor,M
andranik,M
andras,M
andrás,M
andraus,M
andrawes,M
andraws,M
andre,M
andré,M
andrè,M
andreas,M
andréas,M
andreasson,M
andreaz,M
andree,M
andreé,M
andrée,M
andreev,M
andreevich,M
andreh,M
andrei,M
andreij,M
andrej,M
andrejs,M
andrejus,M
andrén,M
andreo,M
andres,M
andrés,M
andrev,M
andrew,M
andrews,M
andrey,M
andrez,M
andri,M
andria,M
andrian,M
andrias,M
andries,M
andrii,M
andrija,M
andris,M
andrius,M
andriy,M
andro,M
androw,M
andrus,M
andry,M
andrzej,M
andy,M
anees,M
anel,M
aner,M
anes,M
anestis,M
ang,M
angantyr,M
angel,M
ángel,M
angelino,M
angello,M
angelo,M
angelos,M
angelov,M
angelus,M
angesom,M
anghel,M
anghesom,M
angosom,M
angur,M
angus,M
anhar,M
anhur,M
anian,M
anibal,M
aniceto,M
anik,M
aniket,M
anil,M
anir,M
anirban,M
aniruddha,M
anirudh,M
anis,M
anish,M
aniss,M
anisur,M
anjan,M
ankar,M
anker,M
ankhbayar,M
ankido,M
ankit,M
ankur,M
anmar,M
annar,M
annas,M
annes,M
ano,M
anoar,M
anon,M
anoop,M
anouar,M
ans,M
ansar,M
ansel,M
anselm,M
anselmi,M
anselmo,M
ansgar,M
ansgarius,M
anshelm,M
ansis,M
anssi,M
ansu,M
ansumana,M
antal,M
antanas,M
antar,M
antaris,M
ante,M
anteneh,M
antenor,M
anter,M
antero,M
anthon,M
anthoni,M
anthonie,M
anthonio,M
anthonius,M
anthony,M
anti,M
anto,M
antoan,M
antoin,M
antoine,M
anton,M
antonello,M
antoni,M
antonijo,M
antonin,M
antonino,M
antonio,M
antónio,M
antonios,M
antonis,M
antonius,M
antonov,M
antons,M
antony,M
antonyo,M
antoon,M
antoun,M
antranik,M
ants,M
antti,M
antton,M
anttoni,M
antu,M
antun,M
antwan,M
anuar,M
anubhav,M
anucha,M
anuchit,M
anuj,M
anund,M
anup,M
anupam,M
anura,M
anurag,M
anurak,M
anuwat,M
anvar,M
anwar,M
anwer,M
anzor,M
aoda,M
aos,M
aous,M
aphisit,M
aphiwat,M
aphram,M
apisit,M
apiwat,M
apollo,M
apollon,M
apostolos,M
aqa,M
aqeel,M
aqil,M
aquiles,M
ara,M
arab,M
arabi,M
arad,M
årad,M
aradom,M
arafat,M
aragon,M
aragorn,M
araia,M
aram,M
aramis,M
aran,M
arap,M
ararat,M
aras,M
arash,M
aravind,M
araz,M
arban,M
arben,M
arber,M
arbër,M
arbi,M
arbnor,M
arcadio,M
archer,M
archibald,M
archie,M
arda,M
ardalan,M
ardashir,M
ardavan,M
arden,M
ardeshir,M
ardi,M
ardian,M
ardijan,M
ardil,M
ardit,M
ardwan,M
are,M
aref,M
arefaine,M
arega,M
aregay,M
arek,M
arel,M
aren,M
arend,M
arendt,M
arent,M
ares,M
aresh,M
arez,M
arfan,M
arfs,M
argirios,M
argjend,M
argjent,M
argo,M
argyrios,M
arham,M
ari,M
aria,M
arian,M
arianit,M
aribert,M
arie,M
ariel,M
arien,M
arif,M
ariful,M
arifur,M
arijan,M
arijit,M
arijon,M
arik,M
aril,M
arild,M
ari-matti,M
arimo,M
arinze,M
ario,M
arion,M
ari-pekka,M
aris,M
arish,M
aristeidis,M
aristide,M
aristides,M
aristidis,M
aristoteles,M
aristotelis,M
arit,M
aritz,M
ariunbold,M
ariyan,M
arjan,M
arjang,M
arjanit,M
arjen,M
arjun,M
arjuna,M
arkadi,M
arkadius,M
arkadiusz,M
arkan,M
arle,M
arley,M
arlind,M
arlindo,M
ärling,M
arlo,M
arly,M
armaan,M
arman,M
armand,M
armandas,M
armando,M
armands,M
armani,M
armann,M
armas,M
armel,M
armen,M
armend,M
armia,M
armin,M
arminas,M
armo,M
armond,M
armstrong,M
arn,M
arnab,M
arnaldo,M
arnar,M
arnas,M
arnau,M
arnaud,M
arnav,M
arnbjörn,M
arndt,M
arne,M
arnel,M
arnes,M
arneson,M
arnesson,M
arnfinn,M
arnhold,M
arni,M
árni,M
arnim,M
arnis,M
arnljot,M
arno,M
arnold,M
arnoldas,M
arnoldo,M
arnolds,M
arnoldus,M
arnon,M
arnór,M
arnost,M
arnoud,M
arnstein,M
arnt,M
arnth,M
arnulf,M
arnulfo,M
aro,M
aron,M
áron,M
aronas,M
aros,M
aroz,M
arpad,M
árpád,M
arran,M
arron,M
arsalan,M
arsam,M
arsan,M
arsen,M
arsene,M
arseni,M
arsenij,M
arsenio,M
arsh,M
arsha,M
arshad,M
arshak,M
arsham,M
arshan,M
arshed,M
arshia,M
arsi,M
arsim,M
arsin,M
arslan,M
art,M
artak,M
artan,M
artem,M
artemio,M
arthit,M
arthur,M
arti,M
artin,M
artiom,M
artis,M
artjom,M
artjoms,M
arto,M
arton,M
artour,M
arttu,M
artturi,M
artur,M
arturas,M
artüras,M
arturo,M
arturs,M
artyom,M
arun,M
arunas,M
arunkumar,M
arvand,M
arve,M
arved,M
arvi,M
arvid,M
arvids,M
arvidsson,M
arvin,M
arvind,M
arvo,M
arvor,M
arvydas,M
arwe,M
arwid,M
arwin,M
ary,M
aryan,M
aryas,M
aryo,M
ås,M
asaad,M
asad,M
asadollah,M
asadullah,M
asaf,M
asam,M
asan,M
asanka,M
asante,M
asbjörn,M
asbjørn,M
asdren,M
ased,M
asef,M
asefa,M
asefaw,M
asem,M
asen,M
asenov,M
aser,M
asfaha,M
asfaw,M
asgar,M
asgedom,M
asgeir,M
ásgeir,M
asger,M
asghar,M
asgodom,M
ash,M
ashak,M
ashar,M
ashenafi,M
asher,M
ashfaq,M
ashik,M
ashish,M
ashkan,M
ashok,M
ashoor,M
ashor,M
ashot,M
ashour,M
ashraf,M
ashraful,M
ashton,M
ashur,M
ashutosh,M
ashwani,M
ashwin,M
asier,M
asif,M
asim,M
asir,M
asis,M
ask,M
askander,M
askar,M
åskar,M
aske,M
asker,M
askin,M
asko,M
askur,M
aslak,M
aslam,M
aslambek,M
aslan,M
asle,M
asllan,M
asmat,M
asmelash,M
asmer,M
asmerom,M
asmir,M
asmund,M
åsmund,M
aso,M
asoka,M
asos,M
asrat,M
assaad,M
assad,M
assadollah,M
assadullah,M
assaf,M
assam,M
assan,M
assane,M
assar,M
asseel,M
assef,M
assefa,M
assefaw,M
assem,M
asser,M
asseri,M
assim,M
asso,M
assoweh,M
aste,M
asterios,M
asterix,M
astley,M
astolf,M
aston,M
astor,M
astrit,M
aswad,M
aswin,M
ata,M
atahan,M
atakan,M
ataklti,M
atal,M
atallah,M
atanas,M
atanasios,M
atanasov,M
ataollah,M
atdhe,M
atef,M
athanase,M
athanasios,M
athanassios,M
atharv,M
atheer,M
ather,M
athir,M
athit,M
athle,M
athos,M
ati,M
atif,M
atik,M
atila,M
atilio,M
atilla,M
atiq,M
atiqullah,M
atiqur,M
atis,M
atlas,M
atle,M
atli,M
atman,M
ato,M
atobrhan,M
atom,M
atos,M
atreyu,M
atrin,M
atshan,M
atso,M
atta,M
atte,M
atterdag,M
attia,M
atticus,M
attila,M
attilio,M
attle,M
attmar,M
attner,M
atto,M
atul,M
atwan,M
auda,M
auday,M
audish,M
audrius,M
audun,M
augin,M
august,M
augustas,M
augusti,M
augustin,M
augustinas,M
augustine,M
augustinus,M
augusto,M
augustus,M
aukusti,M
aulis,M
aulon,M
aun,M
aung,M
auno,M
aurel,M
aurelian,M
aureliano,M
aurélien,M
aurelijus,M
aurelio,M
aurelius,M
aureliusz,M
aurimas,M
auron,M
aus,M
austin,M
auvo,M
avar,M
avdi,M
avdija,M
avdo,M
avdulah,M
avdulla,M
avdullah,M
avdyl,M
avedis,M
avelino,M
avend,M
avi,M
avinash,M
avni,M
avo,M
avraam,M
avraham,M
avram,M
avtandil,M
avtar,M
awab,M
awad,M
awadh,M
awais,M
awal,M
awale,M
awara,M
awat,M
aways,M
awder,M
awees,M
aweis,M
awel,M
awelker,M
awes,M
awet,M
aweys,M
awil,M
awla,M
awni,M
awny,M
aws,M
awwad,M
axel,M
axelius,M
axelson,M
axelsson,M
axl,M
axmed,M
axner,M
ayaanle,M
ayad,M
ayalew,M
ayanle,M
ayanleh,M
ayar,M
ayas,M
ayaz,M
aydarus,M
ayden,M
aydin,M
ayed,M
ayele,M
ayesh,M
ayham,M
ayhan,M
aykut,M
ayman,M
aymane,M
aymen,M
ayo,M
ayob,M
ayobami,M
ayodeji,M
ayodele,M
ayoob,M
ayoub,M
ayrton,M
aysar,M
aytac,M
aytekin,M
ayub,M
ayuk,M
ayush,M
ayuub,M
ayyad,M
ayyan,M
ayyub,M
azaan,M
azad,M
azamat,M
azan,M
azaria,M
azat,M
azeddine,M
azeem,M
azem,M
azer,M
azez,M
azher,M
azhi,M
azim,M
azir,M
aziz,M
azizbek,M
azizi,M
azizollah,M
azizul,M
azizullah,M
azizur,M
azlan,M
azmat,M
azmi,M
azmir,M
azmy,M
azo,M
azur,M
azzam,M
azzeddine,M
azzedine,M
azziz,M
b:son,M
ba,M
baba,M
babacar,M
baback,M
babak,M
baban,M
babar,M
babatunde,M
babek,M
babel,M
baber,M
babiker,M
babis,M
babou,M
baboucar,M
baboucarr,M
babu,M
babucarr,M
babul,M
bac,M
bachar,M
bachir,M
bachner,M
backa,M
backolars,M
badal,M
badar,M
badara,M
badawi,M
bade,M
badeea,M
badel,M
bader,M
badi,M
badie,M
badih,M
badir,M
badou,M
badr,M
badran,M
badreddin,M
badri,M
badrudin,M
bae,M
båge,M
bager,M
bagg,M
bagher,M
baha,M
bahaa,M
bahaddin,M
bahadin,M
bahadir,M
bahador,M
bahadur,M
bahaeddin,M
bahattin,M
baher,M
bahez,M
bahgat,M
bahij,M
bahir,M
bahjat,M
bahlbi,M
bahman,M
bahnam,M
bahnan,M
bahoz,M
bahram,M
bahri,M
bahroz,M
bahrudin,M
bahta,M
bahtir,M
bahtiyar,M
bahzad,M
bai,M
bailey,M
bajazit,M
bajen,M
bajram,M
bajro,M
bakar,M
bakarr,M
bakary,M
baker,M
bakhit,M
bakhsh,M
bakhtiar,M
bakhtiyar,M
bakhtiyor,M
bakhtyar,M
baki,M
bakir,M
bako,M
bakour,M
bakr,M
bakri,M
baktash,M
baktiar,M
balaji,M
balal,M
balazs,M
balázs,M
balbir,M
balder,M
baldomero,M
baldur,M
baldvin,M
balen,M
balint,M
bálint,M
balla,M
ballieu,M
baloo,M
balraj,M
baltasar,M
baltazar,M
bälter,M
balthasar,M
balthazar,M
baltsar,M
baltzar,M
balwinder,M
balzar,M
bam,M
bamba,M
bamdad,M
bamidele,M
bamo,M
bamse,M
bancha,M
bandar,M
bandara,M
bane,M
bang,M
bangin,M
bängt,M
banibal,M
banipal,M
bank,M
bankin,M
bao,M
baptiste,M
baqer,M
baqi,M
baqir,M
baraa,M
barack,M
barak,M
baraka,M
barakat,M
baram,M
baran,M
barat,M
barbaros,M
bård,M
bardh,M
bardhyl,M
bardia,M
bare,M
barend,M
bareq,M
barham,M
bari,M
baris,M
barkad,M
barkat,M
barkhad,M
barkho,M
barly,M
barna,M
